"","lot","supplier","line","grower","dd","port","week","vessel","origin","ca","plastic","brand","pd","days","maxgrade","CR","CRC","CD","CDC","bio","wk","week_date","CR_avg","maxgrade_avg","degreedays","t_max_avg_wk","t_min_avg_wk","rhum_avg_wk","t_avg_mean","prcp_sum_wk","degreedays_wk","crs","crc"
"1",15863,"VDCHIRA","Mediterranean Shipping Company BV","5421",2016-01-04,"Antwerpen (BE)",16,"MSC Katya R.","Peru","NO CA","BANAVAC","EKOOKE",2016-04-19,28,45,0,0,0,0,"1","16",2016-04-17,0.0240537544227314,44.1538461538462,1237.9,31.6788461538462,21.8461538461538,66.7115384615385,26.1480769230769,NA,1236.53666666667,0.935016242685415,-0.354604887042535
"2",15870,"VDCHIRA","Seatrade Group N.V.","1450",2016-01-04,"Barendrecht (NL)",22,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-05-30,26,44,0,0,0,0,"1","22",2016-05-29,0.00365805494998975,44.3636363636364,1112.2,30.4145833333333,19.8979166666667,69.0625,24.3395833333333,NA,1105.52631578947,0.464723172043769,-0.88545602565321
"3",15871,"VDCHIRA","Seatrade Group N.V.","540",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-06-13,26,48,0,0,0,0,"1","24",2016-06-12,0.00747058645615945,44.1111111111111,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"4",15872,"APPBOSA","Seatrade Group N.V.","7004",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE",2016-06-13,26,45,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"5",15873,"APPBOSA","Seatrade Group N.V.","3223",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-13,28,45,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"6",15874,"APPBOSA","Seatrade Group N.V.","7104",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-13,26,46,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"7",15867,"VDCHIRA","Maersk Line A/S","411",2016-01-05,"Barendrecht (NL)",18,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-05-03,29,45,0,0,0,0,"0","18",2016-05-01,0.0262649377065853,45,1202.1,32.2163265306122,20.7408163265306,65.6734693877551,25.734693877551,NA,1199.9525,0.822983865893656,-0.568064746731156
"8",15868,"VDCHIRA","Maersk Line A/S","5130",2016-01-05,"Barendrecht (NL)",19,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-05-10,28,47,0,0.0363636363636364,0.0181818181818182,0,"0","19",2016-05-08,0.023326485190892,46,1178.05,31.734693877551,21.1408163265306,64.5510204081633,25.6020408163265,NA,1174.65,0.748510748171101,-0.663122658240795
"9",15875,"APPBOSA","Maersk Line A/S","1811",2016-01-05,"Barendrecht (NL)",25,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-06-20,29,42,0.0169491525423729,0.00847457627118644,0,0,"0","25",2016-06-19,0.0254237288135593,42,1005.1,29.3277777777778,18.9462962962963,66.3333333333333,23.5703703703704,NA,997.670833333333,0.120536680255323,-0.992708874098054
"10",15826,"VDCHIRA","Hapag-Lloyd AG","1484",2016-01-06,"Barendrecht (NL)",50,"Northern Dexterity","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-10,27,46,0,0,0,0,"1","50",2015-12-06,0,46,955.2,30.9137254901961,22.4745098039216,68.9803921568627,25.7960784313725,NA,958.15,-0.239315664287558,0.970941817426052
"11",15864,"VDCHIRA","Hapag-Lloyd AG","5508",2016-01-06,"Barendrecht (NL)",16,"Northern Dexterity","Peru","NO CA","BANAVAC","EKOOKE FT",2016-04-19,26,48,0,0.0101010101010101,0,0,"1","16",2016-04-17,0.0240537544227314,44.1538461538462,1237.9,31.6788461538462,21.8461538461538,66.7115384615385,26.1480769230769,NA,1236.53666666667,0.935016242685415,-0.354604887042535
"12",15877,"APPBOSA","Hamburg Sud","7005",2016-01-06,"Barendrecht (NL)",26,"Northern Dexterity","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-27,27,46,0.0103092783505155,0,0,0,"1","26",2016-06-26,0.00477134712601161,44.1,976.45,29.287037037037,18.3962962962963,69.1666666666667,22.8537037037037,NA,970.63125,-3.21628574467825e-16,-1
"13",15878,"APPBOSA","Hamburg Sud","3107",2016-01-06,"Barendrecht (NL)",26,"Northern Dexterity","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-30,27,44,0.0106382978723404,0,0,0,"1","26",2016-06-26,0.00477134712601161,44.1,964.55,29.287037037037,18.3962962962963,69.1666666666667,22.8537037037037,NA,970.63125,-3.21628574467825e-16,-1
"14",15936,"APPBOSA","Seatrade Group N.V.","3207",2016-01-11,"Barendrecht (NL)",50,"Italia Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-13,29,48,0,0,0,0,"1","50",2015-12-13,0.00230054875474884,44.375,962.45,30.9137254901961,22.4745098039216,68.9803921568627,25.7960784313725,NA,970.117647058824,-0.239315664287558,0.970941817426052
"15",15937,"APPBOSA","Seatrade Group N.V.","928",2016-01-11,"Barendrecht (NL)",51,"Italia Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-14,28,45,0,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,966.05,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"16",15946,"VDCHIRA","Mediterranean Shipping Company BV","5414",2016-01-11,"Antwerpen (BE)",51,"MSC Kim","Peru","NO CA","BANAVAC","EKOOKE",2015-12-14,28,44,0,0,0,0,"1","51",2015-12-13,0,45.2,966.05,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"17",15954,"VDCHIRA","Seatrade Group N.V.","513",2016-01-11,"Barendrecht (NL)",51,"Italia Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-16,26,48,0,0,0,0,"1","51",2015-12-13,0,45.2,971.5,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"18",15955,"VDCHIRA","Seatrade Group N.V.","1446",2016-01-11,"Barendrecht (NL)",51,"Italia Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-16,26,48,0,0,0,0,"1","51",2015-12-13,0,45.2,971.5,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"19",15938,"APPBOSA","Maersk Line A/S","2208",2016-01-12,"Barendrecht (NL)",50,"Maersk Norwich","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-12,31,44,0,0,0,0,"1","50",2015-12-06,0,44,961.1,30.9137254901961,22.4745098039216,68.9803921568627,25.7960784313725,NA,958.15,-0.239315664287558,0.970941817426052
"20",15941,"APPBOSA","Maersk Line A/S","5108",2016-01-12,"Barendrecht (NL)",50,"Maersk Norwich","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-13,30,46,0,0,0,0,"1","50",2015-12-13,0.00230054875474884,44.375,962.45,30.9137254901961,22.4745098039216,68.9803921568627,25.7960784313725,NA,970.117647058824,-0.239315664287558,0.970941817426052
"21",15950,"VDCHIRA","Maersk Line A/S","5444",2016-01-12,"Barendrecht (NL)",51,"Maersk Norwich","Peru","CA","POLYPACK","MIGROS SWM",2015-12-15,28,46,0.00847457627118644,0,0,0,"0","51",2015-12-13,0.00169491525423729,45.4,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"22",15951,"VDCHIRA","Maersk Line A/S","518",2016-01-12,"Barendrecht (NL)",51,"Maersk Norwich","Peru","CA","POLYPACK","EKOOKE SW",2015-12-14,29,46,0,0,0,0,"1","51",2015-12-13,0.00169491525423729,45.4,966.05,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"23",15952,"VDCHIRA","Maersk Line A/S","1024",2016-01-12,"Barendrecht (NL)",51,"Maersk Norwich","Peru","CA","POLYPACK","EKOOKE SW",2015-12-15,28,45,0,0,0,0,"1","51",2015-12-13,0.00169491525423729,45.4,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"24",15939,"APPBOSA","Hamburg Sud","7516",2016-01-13,"Barendrecht (NL)",51,"Balthasar Schulte","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-15,29,42,0,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"25",15940,"APPBOSA","Hamburg Sud","3821",2016-01-13,"Barendrecht (NL)",51,"Balthasar Schulte","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-15,29,44,0.00970873786407767,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"26",15948,"VDCHIRA","Hapag-Lloyd AG","no qc",2016-01-13,"Barendrecht (NL)",51,"Balthasar Schulte","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-15,29,40,0,0,0,0,"1","51",2015-12-13,0,45.2,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"27",15949,"VDCHIRA","Hapag-Lloyd AG","1487",2016-01-13,"Barendrecht (NL)",51,"Balthasar Schulte","Peru","CA","POLYPACK","MIGROS SWM",2015-12-17,27,45,0,0,0,0,"0","51",2015-12-13,0.00169491525423729,45.4,975.05,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"28",15997,"APPBOSA","Hapag-Lloyd AG","1405",2016-01-13,"Barendrecht (NL)",51,"Balthasar Schulte","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-15,29,42,0,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,968.65,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"29",16005,"APPBOSA","Maersk Line A/S","4401",2016-01-18,"Barendrecht (NL)",51,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-19,30,46,0,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,980.8,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"30",16006,"APPBOSA","Maersk Line A/S","4401",2016-01-18,"Barendrecht (NL)",51,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-19,30,42,0.00869565217391304,0,0,0,"1","51",2015-12-13,0.00230054875474884,44.375,980.8,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"31",16007,"APPBOSA","Maersk Line A/S","1603",2016-01-18,"Barendrecht (NL)",52,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-21,28,46,0,0,0,0,"1","52",2015-12-20,0,45.875,987.15,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"32",16008,"APPBOSA","Maersk Line A/S","3230",2016-01-18,"Barendrecht (NL)",52,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-21,28,44,0,0,0,0,"1","52",2015-12-20,0,45.875,987.15,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"33",16009,"APPBOSA","Maersk Line A/S","2835",2016-01-18,"Barendrecht (NL)",52,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-21,28,48,0,0,0,0,"1","52",2015-12-20,0,45.875,987.15,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"34",16011,"APPBOSA","Maersk Line A/S","1907",2016-01-18,"Barendrecht (NL)",51,"Maersk Niagara","Peru","CA","POLYPACK","MIGROS SWM",2015-12-18,31,46,0.00847457627118644,0,0,0,"0","51",2015-12-13,0.00847457627118644,46,977.4,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,970.117647058824,-0.120536680255324,0.992708874098054
"35",16016,"APOQ","Maersk Line A/S","10509",2016-01-18,"Barendrecht (NL)",52,"Maersk Niagara","Peru","NO CA","BANAVAC","EKOOKE",2015-12-23,26,46,0,0,0,0,"1","52",2015-12-20,0,47.5,993.95,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"36",16017,"VDCHIRA","Mediterranean Shipping Company BV","5515",2016-01-18,"Antwerpen (BE)",52,"MSC  Vaishnavi R.","Peru","NO CA","BANAVAC","EKOOKE",2015-12-21,28,43,0.00934579439252336,0,0,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,987.15,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"37",16018,"VDCHIRA","Mediterranean Shipping Company BV","1474",2016-01-18,"Antwerpen (BE)",52,"MSC Vaishnavi R.","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-23,26,43,0,0,0,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,993.95,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"38",16022,"VDCHIRA","Maersk Line A/S","716",2016-01-18,"Barendrecht (NL)",51,"Maersk Niagara","Peru","CA","POLYPACK","MIGROS SWM",2015-12-20,29,46,0,0,0,0,"0","51",2015-12-20,0,46,984.9,32.7283018867925,22.7377358490566,66.0961538461538,26.725,NA,991.1,-0.120536680255324,0.992708874098054
"39",16023,"VDCHIRA","Maersk Line A/S","5424",2016-01-18,"Barendrecht (NL)",52,"Maersk Niagara","Peru","CA","POLYPACK","MIGROS SWM",2015-12-21,28,46,0,0,0,0,"0","52",2015-12-20,0,46,987.15,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"40",16026,"VDCHIRA","Seatrade Group N.V.","1459",2016-01-18,"Barendrecht (NL)",52,"Hellas Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-22,27,46,0,0,0,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,990.35,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"41",16027,"VDCHIRA","Seatrade Group N.V.","1436",2016-01-18,"Barendrecht (NL)",52,"Hellas Reefer","Peru","NO CA","BANAVAC","EKOOKE",2015-12-22,27,46,0,0,0.0101010101010101,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,990.35,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"42",16012,"APPBOSA","Hapag-Lloyd AG","1711",2016-01-20,"Barendrecht (NL)",52,"Cap Doukato","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-23,28,46,0,0,0,0,"1","52",2015-12-20,0,45.875,993.95,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"43",16013,"APPBOSA","Hapag-Lloyd AG","1806",2016-01-20,"Barendrecht (NL)",52,"Cap Doukato","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-24,27,44,0,0,0,0,"1","52",2015-12-20,0,45.875,996.45,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"44",16014,"APPBOSA","Hapag-Lloyd AG","3622",2016-01-20,"Barendrecht (NL)",52,"Cap Doukato","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-24,27,49,0,0,0,0,"1","52",2015-12-20,0,45.875,996.45,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"45",16019,"VDCHIRA","Hapag-Lloyd AG","1484",2016-01-20,"Barendrecht (NL)",52,"Cap Doukato","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-23,28,45,0,0,0,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,993.95,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"46",16020,"VDCHIRA","Hamburg Sud","309",2016-01-20,"Barendrecht (NL)",52,"Cap Doukato","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-24,27,45,0,0,0,0,"1","52",2015-12-20,0.00133511348464619,44.4285714285714,996.45,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,991.1,6.4325714893565e-16,1
"47",16081,"VDCHIRA","Mediterranean Shipping Company BV","5423",2016-01-25,"Antwerpen (BE)",53,"Vargas Trader","Peru","NO CA","BANAVAC","EKOOKE",2015-12-28,28,44,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1010.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"48",16082,"VDCHIRA","Mediterranean Shipping Company BV","1470",2016-01-25,"Antwerpen (BE)",53,"Vargas Trader","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-28,28,44,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1010.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"49",16086,"VDCHIRA","Maersk Line A/S","5512",2016-01-25,"Barendrecht (NL)",52,"Nora Maersk","Peru","CA","POLYPACK","MIGROS SWM",2015-12-27,29,46,0,0,0,0,"0","52",2015-12-27,0,45.5,1005.9,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,1014.18666666667,6.4325714893565e-16,1
"50",16087,"VDCHIRA","Maersk Line A/S","1582",2016-01-25,"Barendrecht (NL)",52,"Nora Maersk","Peru","CA","POLYPACK","MIGROS SWM",2015-12-27,29,45,0,0,0,0,"0","52",2015-12-27,0,45.5,1005.9,33.3208333333333,23.1895833333333,66.8125,27.3020833333333,NA,1014.18666666667,6.4325714893565e-16,1
"51",16088,"VDCHIRA","Seatrade Group N.V.","1804",2016-01-25,"Barendrecht (NL)",53,"Schweiz Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-29,27,47,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1014.4,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"52",16089,"VDCHIRA","Seatrade Group N.V.","1459",2016-01-25,"Barendrecht (NL)",53,"Schweiz Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-30,26,45,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1017,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"53",16102,"APPBOSA","Maersk Line A/S","1707",2016-01-25,"Barendrecht (NL)",53,"Nora Maersk","Peru","CA","POLYPACK","MIGROS SWM",2015-12-28,28,48,0.00854700854700855,0,0,0,"0","53",2015-12-27,0.00818233618233618,46.6666666666667,1010.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"54",16103,"APPBOSA","Maersk Line A/S","5127",2016-01-25,"Barendrecht (NL)",53,"Nora Maersk","Peru","CA","POLYPACK","MIGROS SWM",2015-12-28,28,46,0,0,0,0,"0","53",2015-12-27,0.00818233618233618,46.6666666666667,1010.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"55",16105,"APPBOSA","Maersk Line A/S","3814",2016-01-25,"Barendrecht (NL)",53,"Nora Maersk","Peru","NO CA","BANAVAC","EKOOKE",2015-12-28,28,46,0,0,0,0,"1","53",2015-12-27,0.00175438596491228,45.6666666666667,1010.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"56",16084,"VDCHIRA","Hamburg Sud","5420",2016-01-27,"Barendrecht (NL)",53,"Hansa Europe","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-29,29,46,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1014.4,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"57",16085,"VDCHIRA","Hamburg Sud","1492",2016-01-27,"Barendrecht (NL)",53,"Hansa Europe","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-30,28,47,0,0,0,0,"1","53",2015-12-27,0,45.4285714285714,1017,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"58",16095,"APOQ","Hapag-Lloyd AG","15432",2016-01-27,"Barendrecht (NL)",53,"Hansa Europe","Peru","NO CA","BANAVAC","EKOOKE FT",2015-12-31,27,48,0,0,0,0,"1","53",2015-12-27,0,47,1018.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"59",16096,"APPBOSA","Hamburg Sud","2804",2016-01-27,"Barendrecht (NL)",53,"Hansa Europe","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-31,27,44,0,0,0,0,"1","53",2015-12-27,0.00175438596491228,45.6666666666667,1018.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"60",16097,"APPBOSA","Hamburg Sud","922",2016-01-27,"Barendrecht (NL)",53,"Hansa Europe","Peru","NO CA","BANAVAC","BIO BIO TA",2015-12-31,27,43,0,0,0,0,"1","53",2015-12-27,0.00175438596491228,45.6666666666667,1018.75,32.2689655172414,23.6068965517241,68.7857142857143,27.048275862069,NA,1014.18666666667,0.120536680255323,0.992708874098054
"61",15605,"VDCHIRA","Mediterranean Shipping Company BV","5536",2016-02-01,"Antwerpen (BE)",1,"MSC Veronique","Peru","NO CA","BANAVAC","EKOOKE",2016-01-04,28,46,0,0,0,0,"1","01",2016-01-03,0.00196078431372549,44.7,1035.55,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"62",16170,"VDCHIRA","Mediterranean Shipping Company BV","5506",2016-02-01,"Antwerpen (BE)",1,"MSC Veronique","Peru","NO CA","BANAVAC","EKOOKE FT",2016-01-05,27,47,0,0,0,0,"1","01",2016-01-03,0.00196078431372549,44.7,1039.4,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"63",16172,"APOQ","Maersk Line A/S","12008",2016-02-01,"Barendrecht (NL)",53,"Maersk Nijmegen","Peru","NO CA","BANAVAC","EKOOKE FT",2016-01-03,29,46,0,0,0,0,"1","53",2016-01-03,0,46.3333333333333,1032.6,33.8909090909091,23.5636363636364,66.3636363636364,27.6727272727273,NA,1041.91666666667,0.120536680255323,0.992708874098054
"64",16176,"VDCHIRA","Maersk Line A/S","1468",2016-02-01,"Barendrecht (NL)",1,"Maersk Nijmegen","Peru","CA","POLYPACK","MIGROS SWM",2016-01-04,28,45,0.00847457627118644,0,0,0,"0","01",2016-01-03,0.00577471126443678,47,1035.55,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"65",16177,"VDCHIRA","Maersk Line A/S","2002",2016-02-01,"Barendrecht (NL)",1,"Maersk Nijmegen","Peru","CA","POLYPACK","MIGROS SWM",2016-01-05,27,47,0,0,0,0,"0","01",2016-01-03,0.00577471126443678,47,1039.4,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"66",16178,"VDCHIRA","Seatrade Group N.V.","1461",2016-02-01,"Barendrecht (NL)",1,"Atlantic Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-01-06,26,43,0,0,0,0,"1","01",2016-01-03,0.00196078431372549,44.7,1042.55,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"67",16179,"VDCHIRA","Seatrade Group N.V.","1434",2016-02-01,"Barendrecht (NL)",1,"Atlantic Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-01-06,26,42,0.00980392156862745,0.00980392156862745,0.00980392156862745,0,"1","01",2016-01-03,0.00196078431372549,44.7,1042.55,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"68",16180,"VDCHIRA","Seatrade Group N.V.","1421",2016-02-01,"Barendrecht (NL)",1,"Atlantic Reefer","Peru","NO CA","BANAVAC","EKOOKE",2016-01-06,26,46,0,0,0,0,"1","01",2016-01-03,0.00196078431372549,44.7,1042.55,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"69",16188,"APPBOSA","Seatrade Group N.V.","3108",2016-02-01,"Barendrecht (NL)",1,"Atlantic Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2016-01-05,27,44,0.0116279069767442,0,0,0,"1","01",2016-01-03,0.00496715087862875,45,1039.4,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
"70",16190,"APPBOSA","Maersk Line A/S","2868",2016-02-01,"Barendrecht (NL)",53,"Maersk Nijmegen","Peru","CA","POLYPACK","MIGROS SWM",2016-01-02,30,46,0.008,0.008,0,0,"0","53",2015-12-27,0.00818233618233618,46.6666666666667,1028.2,33.8909090909091,23.5636363636364,66.3636363636364,27.6727272727273,NA,1014.18666666667,0.120536680255323,0.992708874098054
"71",16191,"APPBOSA","Maersk Line A/S","3803",2016-02-01,"Barendrecht (NL)",53,"Maersk Nijmegen","Peru","CA","POLYPACK","MIGROS SWM",2016-01-03,29,47,0,0.00862068965517241,0,0,"0","53",2016-01-03,0.00679488417825132,45.2,1032.6,33.8909090909091,23.5636363636364,66.3636363636364,27.6727272727273,NA,1041.91666666667,0.120536680255323,0.992708874098054
"72",16192,"APPBOSA","Maersk Line A/S","7501",2016-02-01,"Barendrecht (NL)",53,"Maersk Nijmegen","Peru","NO CA","BANAVAC","EKOOKE",2016-01-03,29,42,0,0,0,0,"1","53",2016-01-03,0.00496715087862875,45,1032.6,33.8909090909091,23.5636363636364,66.3636363636364,27.6727272727273,NA,1041.91666666667,0.120536680255323,0.992708874098054
"73",16173,"VDCHIRA","Hamburg Sud","503",2016-02-03,"Barendrecht (NL)",1,"Chopin","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-01-07,27,44,0,0,0,0,"1","01",2016-01-03,0.00196078431372549,44.7,1045.35,32.9702127659574,23.8659574468085,66.2978723404255,27.4978723404255,NA,1041.91666666667,0.120536680255323,0.992708874098054
