"","lot","dd","kwartaal"
"213",41039,2020-07-27,3
"214",41168,2020-07-29,3
"215",41268,2020-07-30,3
"216",41271,2020-07-30,3
"217",41193,2020-08-06,3
"218",41416,2020-08-13,3
"219",41573,2020-08-24,3
"220",41442,2020-08-27,3
"221",41718,2020-08-27,3
"222",41886,2020-09-10,3
"223",42350,2020-10-01,4
"224",42354,2020-10-01,4
"225",42506,2020-10-08,4
"226",40523,2020-06-24,2
"227",42311,2020-10-16,4
"228",42312,2020-10-16,4
"229",42622,2020-10-15,4
"230",42300,2020-10-16,4
"231",42684,2020-10-22,4
"232",42583,2020-10-30,4
"233",42586,2020-10-30,4
"234",42588,2020-10-30,4
"235",42590,2020-10-30,4
"236",42876,2020-10-29,4
"237",42999,2020-11-05,4
"238",43000,2020-11-05,4
"239",43034,2020-11-12,4
"240",43121,2020-11-12,4
